symptom,aliases,question_type,response
nutrition,nutrition|healthy nutrition|healthy diet|food,symptoms,"Good nutrition generally includes a variety of vegetables, fruits, whole grains, protein sources, and adequate fluids. Individual nutritional needs can vary based on age, activity, and health conditions."
nutrition,nutrition|healthy nutrition|healthy diet|food,assistance,"Aim for a balanced diet with a variety of nutrient-rich foods and adequate fluids. If you have a medical condition or specific nutritional concern, seek advice from a qualified healthcare professional or dietitian."
healthy_lifestyle,healthy lifestyle|healthy living|stay healthy|healthy habits,symptoms,"Healthy living commonly includes regular physical activity, adequate sleep, balanced nutrition, hydration, stress management, and avoiding tobacco and excessive alcohol."
healthy_lifestyle,healthy lifestyle|healthy living|stay healthy|healthy habits,assistance,"Build healthy habits gradually: stay active, sleep adequately, eat a balanced diet, maintain hydration, manage stress, and attend appropriate health checkups."
prevention,prevention|prevent disease|disease prevention|stay safe,symptoms,"Disease prevention can include vaccination when appropriate, hand hygiene, balanced nutrition, physical activity, adequate sleep, avoiding tobacco, and managing known health risks."
prevention,prevention|prevent disease|disease prevention|stay safe,assistance,"Preventive care depends on age, health history, and risk factors. Follow recommended vaccinations, screening, healthy lifestyle practices, and professional medical advice."
hydration,hydration|drink water|dehydration prevention|water intake,symptoms,"Adequate hydration supports normal body functions. Fluid needs vary with activity, weather, diet, age, and health conditions."
hydration,hydration|drink water|dehydration prevention|water intake,assistance,"Drink fluids regularly and pay attention to thirst and urine changes. People with certain heart, kidney, or other medical conditions may have specific fluid requirements and should follow professional advice."
sleep,sleep|sleep health|lack of sleep|sleep problems,symptoms,"Adequate sleep supports physical health, concentration, mood, and recovery. Sleep needs vary by age and individual factors."
sleep,sleep|sleep health|lack of sleep|sleep problems,assistance,"Maintain a consistent sleep schedule, create a comfortable sleep environment, and limit stimulating activities before bedtime. Persistent or severe sleep problems should be discussed with a healthcare professional."
exercise,exercise|physical activity|workout|fitness,symptoms,"Regular physical activity can support cardiovascular health, muscle strength, bone health, mood, and overall wellbeing."
exercise,exercise|physical activity|workout|fitness,assistance,Choose physical activities appropriate for your fitness level and health. Start gradually if you are inactive and seek professional advice if exercise causes concerning symptoms such as chest pain or significant breathing difficulty.
