intent,question
symptom_information,fever
symptom_information,what are the symptoms of fever
symptom_information,what are symptoms of fever
symptom_information,what are the signs of fever
symptom_information,signs of fever
symptom_information,how do I know if I have fever
symptom_information,what does fever feel like
symptom_information,is fever serious
symptom_information,headache
symptom_information,what are the symptoms of headache
symptom_information,what are symptoms of headache
symptom_information,what are the signs of headache
symptom_information,signs of headache
symptom_information,how do I know if I have headache
symptom_information,what does headache feel like
symptom_information,is headache serious
symptom_information,cough
symptom_information,what are the symptoms of cough
symptom_information,what are symptoms of cough
symptom_information,what are the signs of cough
symptom_information,signs of cough
symptom_information,how do I know if I have cough
symptom_information,what does cough feel like
symptom_information,is cough serious
symptom_information,cold
symptom_information,what are the symptoms of cold
symptom_information,what are symptoms of cold
symptom_information,what are the signs of cold
symptom_information,signs of cold
symptom_information,how do I know if I have cold
symptom_information,what does cold feel like
symptom_information,is cold serious
symptom_information,dizziness
symptom_information,what are the symptoms of dizziness
symptom_information,what are symptoms of dizziness
symptom_information,what are the signs of dizziness
symptom_information,signs of dizziness
symptom_information,how do I know if I have dizziness
symptom_information,what does dizziness feel like
symptom_information,is dizziness serious
symptom_information,weakness
symptom_information,what are the symptoms of weakness
symptom_information,what are symptoms of weakness
symptom_information,what are the signs of weakness
symptom_information,signs of weakness
symptom_information,how do I know if I have weakness
symptom_information,what does weakness feel like
symptom_information,is weakness serious
symptom_information,fatigue
symptom_information,what are the symptoms of fatigue
symptom_information,what are symptoms of fatigue
symptom_information,what are the signs of fatigue
symptom_information,signs of fatigue
symptom_information,how do I know if I have fatigue
symptom_information,what does fatigue feel like
symptom_information,is fatigue serious
symptom_information,nausea
symptom_information,what are the symptoms of nausea
symptom_information,what are symptoms of nausea
symptom_information,what are the signs of nausea
symptom_information,signs of nausea
symptom_information,how do I know if I have nausea
symptom_information,what does nausea feel like
symptom_information,is nausea serious
symptom_information,vomiting
symptom_information,what are the symptoms of vomiting
symptom_information,what are symptoms of vomiting
symptom_information,what are the signs of vomiting
symptom_information,signs of vomiting
symptom_information,how do I know if I have vomiting
symptom_information,what does vomiting feel like
symptom_information,is vomiting serious
symptom_information,diarrhea
symptom_information,what are the symptoms of diarrhea
symptom_information,what are symptoms of diarrhea
symptom_information,what are the signs of diarrhea
symptom_information,signs of diarrhea
symptom_information,how do I know if I have diarrhea
symptom_information,what does diarrhea feel like
symptom_information,is diarrhea serious
symptom_information,constipation
symptom_information,what are the symptoms of constipation
symptom_information,what are symptoms of constipation
symptom_information,what are the signs of constipation
symptom_information,signs of constipation
symptom_information,how do I know if I have constipation
symptom_information,what does constipation feel like
symptom_information,is constipation serious
symptom_information,stomach pain
symptom_information,what are the symptoms of stomach pain
symptom_information,what are symptoms of stomach pain
symptom_information,what are the signs of stomach pain
symptom_information,signs of stomach pain
symptom_information,how do I know if I have stomach pain
symptom_information,what does stomach pain feel like
symptom_information,is stomach pain serious
symptom_information,chest pain
symptom_information,what are the symptoms of chest pain
symptom_information,what are symptoms of chest pain
symptom_information,what are the signs of chest pain
symptom_information,signs of chest pain
symptom_information,how do I know if I have chest pain
symptom_information,what does chest pain feel like
symptom_information,is chest pain serious
symptom_information,back pain
symptom_information,what are the symptoms of back pain
symptom_information,what are symptoms of back pain
symptom_information,what are the signs of back pain
symptom_information,signs of back pain
symptom_information,how do I know if I have back pain
symptom_information,what does back pain feel like
symptom_information,is back pain serious
symptom_information,joint pain
symptom_information,what are the symptoms of joint pain
symptom_information,what are symptoms of joint pain
symptom_information,what are the signs of joint pain
symptom_information,signs of joint pain
