question,category,ai_intent,ai_medical_relevance
New OPD appointment SP Verma mande ko,opd,scheduling,medium
Dermitology doctar,general,information_seeking,high
Mock test,general,information_seeking,medium
Hi I am a student..,general,greeting,high
opd of rent,opd,information_seeking,medium
Dr.urmila dhakad,general,information_seeking,high
Apointment lene ke liye kya kre,general,information_seeking,medium
How to download my biopsy report online,general,information_seeking,high
"Kal good friday hai, jo ki calander me gazzetted holiday dikha raha hai",general,scheduling,medium
Bmls course fee,fees,information_seeking,medium
Booking opd,opd,scheduling,high
list dr. of medicine department with experience,departments,information_seeking,high
My admit card provide my mail id surendra Pratap,general,information_seeking,high
Its better than nurshing or not,general,information_seeking,medium
Kya kal opd open rahega,opd,scheduling,high
How to download nursing staff admit card kgmu 2025,faculty,information_seeking,high
MHA exam???,exams,information_seeking,medium
Hi i need to see My husband in cardiology department,departments,navigation,high
result pharmacist,exams,information_seeking,high
Apply bsc nursing kgmu main training kay liye apply,courses,information_seeking,medium
Kgmu hospital me tof heart surgery ka prosses,departments,information_seeking,high
What the ot open tomorrow,general,information_seeking,high
Kya kgmu me contact base par pharmacist ki koi vacancy nikli hai jiski salary 40000 hajar per month hai,departments,information_seeking,medium
Bpt ka addmission kaise karwaye,general,information_seeking,high
After doing OPD registration online can I directly walk in for a checkup or will I have to wait in a queue.,opd,information_seeking,high
mujhe bataye ki bmlt ka last date aur from charge kya hai,fees,information_seeking,medium
Nursing officer recruitment 2026,courses,information_seeking,medium
Msso grade 2 admit card,exams,information_seeking,medium
Hy do they have ba psychology course?,courses,information_seeking,medium
क्या 19 मार्च को हॉस्पिटल बंद रहेगा,general,information_seeking,medium
Result link,exams,information_seeking,medium
E library,campus,information_seeking,medium
Agar lips aur dant me problem hoto kaha dikhaye,general,navigation,high
In hindi,general,information_seeking,medium
BOOK NAHIN HO RAHA HAI,appointment,scheduling,medium
Kya dr nichal ki OPD ki time change ho gayi hai,opd,scheduling,high
Opd opatmant,opd,information_seeking,high
please send lab report link,general,information_seeking,high
Nursing officer vacancy details,courses,information_seeking,medium
Nursing officer exam date kb aaygi,exams,scheduling,medium
opd opintment,opd,information_seeking,medium
Can I know the vacancy for the senior resident,career,information_seeking,medium
Cam you plz send the email id of dean of the faculty of medical science,faculty,information_seeking,medium
8 December 2025 ko lari me appointment chahiye,appointment,information_seeking,high
How many seats of BPT,admissions,information_seeking,medium
Is there any vacancy out for nursing staff,faculty,information_seeking,medium
Teeth dikhana hai kis department me jau,departments,navigation,high
Nursing vaccancy exam date kab hogi jo 733 vacancy,exams,information_seeking,medium
Bsc radiology ka fee kitna h,fees,information_seeking,medium
Mujhe aapke university ka admission cell ka contact number chahiye,admissions,information_seeking,high
Mujhe job ki need hai,career,information_seeking,high
Free structure,general,information_seeking,medium
I want to book early appointment of Dr. Pravesh Vishwakarma,appointment,scheduling,medium
Mai optometry me addmission lena chahta hu,general,information_seeking,medium
Up paramedical course ke liye hostal available h ?,courses,information_seeking,medium
is it set for bsc nursing,courses,information_seeking,medium
