intent,question
disease_information,how is obesity diagnosed
disease_information,what is fatty liver disease
symptom_assistance,what medicine should I take for numbness
symptom_assistance,I have had dry cough since yesterday
symptom_information,how do I know if I have body pain
disease_information,how long does hepatitis last
symptom_assistance,I think I have dry cough
medicine_information,what is ORS solution used for
medicine_information,what is naproxen used for
symptom_information,what are the signs of gum pain
symptom_information,what are the signs of body pain
symptom_information,what does weight loss feel like
symptom_information,signs of itching
symptom_assistance,what should I do for tongue swelling
symptom_information,what does eye pain feel like
symptom_assistance,I am having weight loss
nutrition,foods rich in vitamin D
general_health,how can I stay fit
symptom_assistance,I have had itching for two days
disease_information,how is pneumonia treated
general_health,how often should I exercise
symptom_information,what are symptoms of abdominal pain
medicine_information,is naproxen safe during pregnancy
symptom_assistance,I have leg cramps
symptom_information,how do I know if I have dry mouth
symptom_assistance,I have had itching since yesterday
disease_information,how common is asthma
symptom_assistance,I am having jaw pain
disease_information,what are the risk factors for jaundice
symptom_assistance,what should I do for breathing problem
symptom_assistance,what should I do for weakness
symptom_assistance,I have cold hands and feet
symptom_assistance,what medicine should I take for neck pain
symptom_assistance,how can I get relief from bruising easily
symptom_information,night sweats
disease_information,tell me about measles
symptom_information,signs of chest tightness
symptom_information,what are symptoms of fatigue
symptom_information,signs of tingling sensation
symptom_information,what are symptoms of nosebleeds
symptom_information,anemia
symptom_assistance,how can I treat blurred eyesight
symptom_assistance,how can I treat constipation
symptom_assistance,I am having nosebleeds
symptom_assistance,what should I do for weight loss
symptom_information,signs of fever
disease_information,is irritable bowel syndrome contagious
symptom_assistance,what should I do for hair loss
symptom_assistance,I have had eye pain for two days
symptom_assistance,what medicine should I take for jaw pain
nutrition,foods rich in protein
symptom_assistance,what should I do for runny nose
disease_information,how is anemia treated
disease_information,how is chickenpox diagnosed
symptom_information,what are the symptoms of tingling sensation
symptom_information,what are the symptoms of acid reflux
symptom_assistance,how can I treat wheezing
symptom_assistance,what medicine should I take for itching
medicine_information,is insulin safe during pregnancy
symptom_assistance,what should I do for low energy
medicine_information,is tablet safe during pregnancy
medicine_information,pantoprazole
symptom_information,what are the signs of swollen ankles
disease_information,tell me about bronchitis
symptom_information,what are the signs of dry cough
disease_information,what are the risk factors for tonsillitis
