symptom,aliases,question_type,response
diabetes,diabetes|diabetic|blood sugar|sugar disease,symptoms,"Diabetes is a condition involving persistently high blood glucose. Possible symptoms include increased thirst, frequent urination, increased hunger, tiredness, blurred vision, and unexplained weight changes. Testing is needed for diagnosis."
diabetes,diabetes|diabetic|blood sugar|sugar disease,assistance,"If you have symptoms or concerns about diabetes, a healthcare professional can arrange blood glucose testing. Maintaining a balanced diet, regular physical activity, and following prescribed treatment can help manage diabetes."
asthma,asthma|asthmatic,symptoms,"Asthma can cause episodes of wheezing, coughing, chest tightness, and shortness of breath. Symptoms may be triggered by allergens, exercise, respiratory infections, smoke, or other irritants."
asthma,asthma|asthmatic,assistance,"If you have asthma, follow your prescribed asthma action plan and use prescribed medicines as directed. Severe or rapidly worsening breathing difficulty requires urgent medical attention."
migraine,migraine|migraine headache,symptoms,"Migraine can cause moderate to severe headache, often with nausea and sensitivity to light or sound. Some people experience visual or other warning symptoms before the headache."
migraine,migraine|migraine headache,assistance,"For a familiar mild migraine, rest in a quiet environment, stay hydrated, and follow your healthcare professional’s treatment plan. A sudden extremely severe headache or headache with neurological symptoms needs urgent medical assessment."
dengue,dengue,symptoms,"Dengue can cause high fever, severe headache, pain behind the eyes, muscle and joint pain, nausea, vomiting, or rash. Symptoms can overlap with other infections, so medical evaluation may be needed."
dengue,dengue,assistance,"If dengue is suspected, seek medical advice and maintain adequate fluids. Severe abdominal pain, persistent vomiting, bleeding, extreme weakness, or difficulty breathing requires urgent medical attention."
malaria,malaria,symptoms,"Malaria can cause fever, chills, sweating, headache, body aches, tiredness, nausea, or vomiting. Symptoms vary and testing is needed to confirm malaria."
malaria,malaria,assistance,"If malaria is suspected, seek medical evaluation and testing promptly, especially after travel or residence in an area where malaria occurs. Follow prescribed treatment exactly if diagnosed."
typhoid,typhoid|typhoid fever,symptoms,"Typhoid fever can cause prolonged fever, weakness, headache, stomach discomfort, and changes in bowel habits. Diagnosis generally requires medical evaluation and appropriate testing."
typhoid,typhoid|typhoid fever,assistance,"If typhoid is suspected, seek medical evaluation rather than self-treating with antibiotics. Take prescribed treatment exactly as directed."
hypertension,hypertension|high blood pressure|high bp,symptoms,"High blood pressure often causes no obvious symptoms. It is usually detected by measuring blood pressure. Very high blood pressure with severe headache, chest pain, breathing difficulty, confusion, or vision changes requires urgent medical attention."
hypertension,hypertension|high blood pressure|high bp,assistance,"Regular blood pressure checks can help detect hypertension. If you have been diagnosed with high blood pressure, follow the treatment and lifestyle advice given by your healthcare professional."
dehydration,dehydration|dehydrated,symptoms,"Dehydration can cause thirst, dry mouth, tiredness, dizziness, headache, dark urine, and reduced urination. More severe dehydration can be serious."
dehydration,dehydration|dehydrated,assistance,"For mild dehydration, drink fluids regularly. If you cannot keep fluids down, have very little urine, severe weakness, confusion, fainting, or worsening symptoms, seek medical attention."
kidney,kidney disease|kidney problem|kidney problems,symptoms,"Kidney conditions can have different symptoms and may sometimes cause swelling, changes in urination, tiredness, nausea, or back or side discomfort. Some kidney problems have few early symptoms and require testing."
kidney,kidney disease|kidney problem|kidney problems,assistance,"If you are concerned about kidney problems, seek medical evaluation and appropriate blood or urine testing. Severe pain, very little urine, blood in urine, or significant swelling should be assessed promptly."
liver,liver disease|liver problem|liver problems,symptoms,"Liver conditions can cause tiredness, nausea, abdominal discomfort, itching, or yellowing of the skin or eyes. Some liver conditions may have few symptoms early on."
liver,liver disease|liver problem|liver problems,assistance,"Persistent symptoms or concerns about liver health should be evaluated by a healthcare professional. Yellowing of the skin or eyes, severe abdominal symptoms, confusion, or significant deterioration requires prompt medical care."
thyroid,thyroid disease|thyroid problem|thyroid problems,symptoms,"Thyroid disorders can affect energy, weight, heart rate, temperature tolerance, sleep, and mood. Symptoms vary depending on whether thyroid activity is too high or too low."
thyroid,thyroid disease|thyroid problem|thyroid problems,assistance,"If thyroid problems are suspected, a healthcare professional can arrange appropriate blood tests. Treatment depends on the specific thyroid condition."
cholesterol,high cholesterol|cholesterol problem|high cholesterol levels,symptoms,High cholesterol usually does not cause obvious symptoms and is commonly detected through a blood test. Long-term high cholesterol can increase cardiovascular risk.
cholesterol,high cholesterol|cholesterol problem|high cholesterol levels,assistance,"Regular health checks and a balanced diet, physical activity, and prescribed treatment can help manage cholesterol. Follow professional advice based on your test results."
pneumonia,pneumonia|lung infection,symptoms,"Pneumonia is a lung infection that can cause cough, fever, chills, chest discomfort, tiredness, and difficulty breathing. Symptoms can vary in severity."
pneumonia,pneumonia|lung infection,assistance,"Suspected pneumonia should be medically assessed, especially when fever or breathing symptoms are significant. Severe breathing difficulty, confusion, blue lips, or worsening symptoms require urgent medical attention."
flu,flu|influenza|influenza infection,symptoms,"Flu can cause fever, chills, cough, sore throat, body aches, headache, and tiredness. Symptoms can develop relatively suddenly."
flu,flu|influenza|influenza infection,assistance,"Rest, maintain fluids, and monitor symptoms during a mild flu-like illness. Seek medical advice if symptoms are severe, worsening, or associated with difficulty breathing or other concerning symptoms."
